bottle,structure,bottle.number,replicate,vol.bottle.b4filter,avg.chlorophyll,pH,temp.fahr.rate.of.resp.,rate.of.resp,ppm.ammonia,ppm.nitrite,ppm.nitrate,SPC,cond.,DO.percent,DO,temp.,filterpaper.weight,driedsolid.weight,bac.density,tot.bac.per.bottle,connectivity,position,bottle.color,total.num.tubes,num.tubes.red,num.tubes.not.red,percent.red
D1A,dendritic,1,A,23.5,194.65,8.15,68.9,0.18757,0,0,0,434.1,398.3,104.8,9.35,20.8,0.5479,0.6151,237500,9143750,2,A,5.5,2,1,1,0.5
D2A,dendritic,2,A,23.5,144.95,8.17,68.9,0.16537,0,0,40,653,NA,139,NA,20.7,0.5343,0.5785,310625,11959062.5,3,B,7,3,1,2,0.333333333
D3A,dendritic,3,A,25,239.75,8.14,68.9,0.22733,0,0,0,393.6,362.2,99.4,8.89,20.9,0.5354,0.7722,404375,16175000,3,B,7,3,2,1,0.666666667
D4A,dendritic,4,A,23,236.35,8.14,68.9,0.058866,0.25,0.5,20,5,NA,15,NA,20.4,0.5644,0.777,435625,16553750,3,C,7,3,1,2,0.333333333
D5A,dendritic,5,A,21,145.65,8.08,68.9,0.58725,0,0.25,5,423.5,NA,114.1,10.22,20.9,0.5747,0.6043,270625,9742500,3,C,5,3,2,1,0.666666667
D6A,dendritic,6,A,29,213.3,8.08,68.9,0.25922,0.25,0,0,425.2,391.7,88.1,7.87,20.9,0.5264,0.5589,570625,25107500,3,C,6.5,3,3,0,1
D7A,dendritic,7,A,27,312.6,8.11,68.9,0.43716,0.25,0,20,409.2,376.5,90.1,8.06,20.9,0.5571,0.6642,658125,27641250,3,C,6,3,1,2,0.333333333
D8A,dendritic,8,A,21,167.95,8.14,68.9,0.12798,0,0,10,4.2,NA,15.9,NA,20.2,0.5284,0.5417,461250,16605000,1,D,5.5,1,0,1,0
D9A,dendritic,9,A,23,180.7,8.13,68.9,0.30171,0,0.25,2.5,5,NA,14.9,NA,20.1,0.535,0.6074,900000,34200000,1,D,6,1,1,0,1
D10A,dendritic,10,A,25,173.9,8.13,68.9,0.21665,0,0,5,543.8,NA,121.7,NA,20.5,0.555,0.5607,762500,30500000,1,D,6.5,1,0,1,0
D11A,dendritic,11,A,26,183.8,8.09,68.9,0.32104,0,0,0,461.5,423.5,111.2,9.95,20.7,0.5335,0.584,333750,13683750,1,D,6.5,1,1,0,1
D12A,dendritic,12,A,20,145.05,8.06,68.9,0.071604,0,0,0,394.4,364.5,94,8.36,21.1,0.5714,0.5935,115000,4025000,1,D,7,1,1,0,1
D13A,dendritic,13,A,25,197.75,8.05,68.9,0.28499,0,0,2.5,407.6,375.2,91.7,8.2,20.8,0.5306,0.5428,830000,33200000,1,D,7,1,1,0,1
D14A,dendritic,14,A,25,161.85,8.1,68.9,0.19711,0,0,0,416.4,384.7,95,8.46,21.1,0.5285,0.5397,876250,35050000,1,D,6,1,1,0,1
D15A,dendritic,15,A,17,185.9,8.06,68.9,0.259,0,1,2.5,345.2,317.3,96.3,8.64,20.8,0.5648,0.5857,257500,8240000,1,D,6,1,0,1,0
D1B,dendritic,1,B,17.5,192.65,7.96,68.9,0.24237,0,0,2.5,313.7,288.6,88.7,7.88,20.8,0.5283,0.5578,441250,14340625,2,A,6,2,2,0,1
D2B,dendritic,2,B,22,262.25,7.97,68.9,0.23069,0,0.5,0,359.8,330.2,98.2,8.8,20.7,0.5608,0.5904,606250,22431250,3,B,3.5,3,3,0,1
D3B,dendritic,3,B,23.5,336.3,8.19,68.9,0.34692,1,0.25,10,366.7,341,89.8,7.93,21.4,0.5327,0.6047,483750,18624375,3,B,7,3,3,0,1
D4B,dendritic,4,B,26,228.7,8.03,68.9,0.088181,0,0,40,408.3,376.9,92,8.21,21,0.5502,0.5887,545000,22345000,3,C,4,3,1,2,0.333333333
D5B,dendritic,5,B,26,222.35,8.11,68.9,0.25108,0,0,0,412.3,379.1,91.8,8.16,20.8,0.5292,0.5681,526521.175,21587368.18,3,C,4,3,3,0,1
D6B,dendritic,6,B,22,242.3,8.15,68.9,0.17934,0,0,2.5,374,343.6,93.6,8.34,20.8,0.5594,0.5895,441250,16326250,3,C,4,3,3,0,1
D7B,dendritic,7,B,21,222.75,8.19,68.9,0.23568,0.5,0,15,352.4,323.7,92.5,8.18,21,0.5608,0.5926,152500,5490000,3,C,5,3,3,0,1
D8B,dendritic,8,B,26.5,336.15,8.07,68.9,0.03102,0,0,40,431.1,396.6,98.2,8.78,20.8,0.5261,0.5694,522500,21683750,1,D,7,1,0,1,0
D9B,dendritic,9,B,23,379.65,8.07,68.9,0.23308,0,0,5,408,375.2,92.2,8.24,20.8,0.5645,0.6043,168750,6412500,1,D,7,1,0,1,0
D10B,dendritic,10,B,29,262.2,8.11,68.9,0.17999,0,0,20,452.5,415.7,93.5,8.38,20.7,0.5593,0.597,225000,9900000,1,D,6.5,1,1,0,1
D11B,dendritic,11,B,19.5,238.3,8.11,68.9,0.23888,0,0,0,361.8,332.4,96,8.6,20.8,0.5326,0.5456,166250,5735625,1,D,4,1,1,0,1
D12B,dendritic,12,B,23,326.15,8.13,68.9,0.19511,0,0,2.5,407,376.2,93.1,8.3,21.1,0.5323,0.5741,271250,10307500,1,D,5,1,1,0,1
D13B,dendritic,13,B,23,360.25,8.15,68.9,0.51299,0,0,0,386.7,357.4,93.3,8.25,21,0.5499,0.5916,337500,12825000,1,D,5.5,1,1,0,1
D14B,dendritic,14,B,25,213.05,8.16,68.9,0.21651,0,0,2.5,424.7,389.2,85.4,7.66,20.7,0.5321,0.5714,248750,9950000,1,D,4,1,1,0,1
D15B,dendritic,15,B,22,339.8,8.1,68.9,0.37883,0,0,0,401.6,369.4,82,7.34,20.8,0.5556,0.5825,177500,6567500,1,D,5.5,1,1,0,1
D1C,dendritic,1,C,20,313.05,8.05,68.2,0.38341,0,0,0,339.2,311.5,106.8,9.56,20.7,0.5409,0.5675,261250,9143750,2,A,4,2,2,0,1
D2C,dendritic,2,C,20.5,246.4,8,68.2,0.1886,0,0,5,334.2,307.2,88.9,7.96,20.7,0.5493,0.5854,915000,32482500,3,B,7,3,1,2,0.333333333
D3C,dendritic,3,C,14,348.6,7.27,68.2,0.15797,0,0,0,274.4,251.4,120.4,10.79,20.6,0.5553,0.5767,857500,24867500,3,B,5,3,2,1,0.666666667
D4C,dendritic,4,C,17,233.2,7.97,68.2,0.039216,0,0,40,298.2,272.9,87.9,7.89,20.6,0.5711,0.5923,546250,17480000,3,C,6.5,3,1,2,0.333333333
D5C,dendritic,5,C,20.5,300.5,7.82,68.2,0.18959,0,0,5,329.2,301.3,93.1,8.37,20.6,0.5233,0.5479,751250,26669375,3,C,6,3,1,2,0.333333333
D6C,dendritic,6,C,21,222.2,7.86,68.2,0.15841,0,0,0,365.5,337.2,96.1,8.59,21,0.5622,0.5739,534281.25,19234125,3,C,5,3,3,0,1
D7C,dendritic,7,C,7.5,206.2,7.59,68.2,0.23732,0,0,20,98.8,90.2,126.2,11.37,20.4,0.5327,0.5465,467500,10518750,3,C,5,3,1,2,0.333333333
D8C,dendritic,8,C,21,249.85,8,68.2,0.087911,0,0.25,5,350.6,322.7,90,80.06,20.8,0.5187,0.5476,572500,20610000,1,D,4,1,0,1,0
D9C,dendritic,9,C,25.5,173.85,7.92,68.2,0.13237,0,0,40,392.6,358.5,92.5,8.31,20.4,0.5264,0.5491,500000,20250000,1,D,4,1,1,0,1
