"","time","species","col_ext","predictor","df","aic","r2","delta_aic","lklhd","weight"
"1","Entire Exp","prey","colonization","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,423.636397004072,0.134676531398536,0,1,0.473610222166333
"2","Entire Exp","prey","colonization","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,425.21251391351,0.137727772404802,1.5761169094385,0.454726811462936,0.21536326620195
"3","Entire Exp","prey","colonization","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,425.537177802005,0.135391708228184,1.90078079793329,0.386590069626611,0.183093008763158
"4","Entire Exp","prey","colonization","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,426.895010449504,0.14000621035233,3.25861344543227,0.196065454745919,0.092858603581358
"5","Entire Exp","prey","colonization","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,428.84219482942,0.14038463627846,5.20579782534833,0.0740585773819786,0.0350748992872015
"6","Entire Exp","predator","colonization","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,511.466760081122,0.321243082345111,0,1,0.669008146657806
"7","Entire Exp","predator","colonization","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,513.62282714239,0.320359744741242,2.15606706126778,0.340263986881849,0.227639379238222
"8","Entire Exp","predator","colonization","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,515.343300317122,0.321941049645443,3.87654023600021,0.143952755794216,0.0963055663601722
"9","Entire Exp","predator","colonization","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,521.585988691206,0.249111903474453,10.1192286100838,0.00634800743526476,0.00424686868923645
"10","Entire Exp","predator","colonization","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,522.419085825677,0.256378295255707,10.9523257445553,0.00418535868143311,0.00280003905456372
"11","Entire Exp","prey","extinction","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,473.125917735101,0.130663768365093,0,1,0.527384102170513
"12","Entire Exp","prey","extinction","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,475.00358103658,0.131549581128192,1.87766330147906,0.391084491816252,0.206251743589326
"13","Entire Exp","prey","extinction","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,475.343856564297,0.129083482771994,2.21793882919633,0.329898774802975,0.173983369156619
"14","Entire Exp","prey","extinction","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,477.23930452077,0.129841953155707,4.11338678566949,0.12787610764214,0.0674398262179097
"15","Entire Exp","prey","extinction","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,479.22875322165,0.129918460607392,6.10283548654866,0.0472918291677452,0.0249409588656326
"16","Entire Exp","predator","extinction","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,482.361867153827,0.327281763533111,0,1,0.351886266764908
"17","Entire Exp","predator","extinction","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,482.449270858453,0.315477438393113,0.0874037046262401,0.957239313618941,0.336839368469973
"18","Entire Exp","predator","extinction","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,484.332935698779,0.316140733834619,1.971068544952,0.373239761925327,0.131337946432126
"19","Entire Exp","predator","extinction","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,484.359283917025,0.32729624496479,1.99741676319763,0.368354908021842,0.129619033428337
"20","Entire Exp","predator","extinction","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,486.251781905563,0.327898616830255,3.88991475173657,0.142993318174227,0.0503173849046554
"21","Phase 1","predator","colonization","density ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,361.513345340846,0.0569945836186988,0,1,0.574153360770634
"22","Phase 1","predator","colonization","density ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,363.423365055763,0.0577014177158578,1.91001971491778,0.384808351301779,0.220939008152523
"23","Phase 1","predator","colonization","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,365.266761612034,0.0106806692278951,3.75341627118792,0.153093239364201,0.0878989978922189
"24","Phase 1","predator","colonization","density ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,365.367228014051,0.0581421300801153,3.85388267320502,0.145592837619613,0.0835926170234342
"25","Phase 1","predator","colonization","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,367.201067798537,0.0112221223355803,5.68772245769094,0.0582005060744381,0.0334160161611903
"26","Phase 1","prey","exctinction","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,146.119102831431,0.212461516000608,0,1,0.657576129017005
