structure,replicate,structure2,day.at.extinction,day.at.recol,total.extinction.time
dendritic,A,multiple.bottles,47,84,37
dendritic,B,multiple.bottles,35,72,37
dendritic,C,multiple.bottles,44,55,11
dendritic,D,multiple.bottles,28,76,48
lattice,A,multiple.bottles,35,37,2
lattice,B,multiple.bottles,35,102,67
lattice,C,multiple.bottles,50,82,32
lattice,D,multiple.bottles,76,76,0
single,1,single.bottle,22,NA,214
single,2,single.bottle,22,NA,214
single,3,single.bottle,22,NA,214
single,4,single.bottle,22,NA,214
single,5,single.bottle,22,NA,214
single,6,single.bottle,22,NA,214
single,7,single.bottle,22,NA,214
single,8,single.bottle,22,NA,214
single,A,single.bottle,38,NA,207
single,B,single.bottle,27,NA,207
single,C,single.bottle,38,NA,205
single,D,single.bottle,38,NA,216
