"","V1","V2","V3"
"structure","control","dendritic","lattice"
"vol.bottle.b4filter_1",NA,"23.12500","26.75833"
"avg.chlorophyll_1","185.6650","256.4025","300.5258"
"pH_1","8.8475","7.9930","8.1020"
"temp.fahr.rate.of.resp._1",NA,"68.725","70.075"
"rate.of.resp_1","0.4740712","0.2151197","0.2201779"
"ppm.ammonia_1","3.7500000","0.0750000","0.2166667"
"ppm.nitrite_1","0.0312500","0.0750000","0.1291667"
"ppm.nitrate_1"," 5.000","10.250","10.125"
"SPC_1",NA,"373.005","400.510"
"cond._1","614.350",NA,"371.155"
"DO.percent_1"," 47.6625"," 92.9100","130.9350"
"DO_1"," 4.21875",NA,"11.61550"
"temp._1","21.26250","20.75667","21.19167"
"filterpaper.weight_1",NA,"0.5441283","0.5523743"
"driedsolid.weight_1",NA,"0.5878583","0.5979183"
"bac.density_1","405250000.0","   474055.0","   587752.1"
"tot.bac.per.bottle_1","20262500000","   18173822","   24972322"
"connectivity_1","0.000000","1.866667","2.933333"
"bottle.color_1","6.062500","5.783333","5.450000"
"total.num.tubes_1","0.000000","1.866667","2.933333"
"num.tubes.red_1",NA,"1.200000","1.316667"
"num.tubes.not.red_1",NA,"0.6666667","1.6166667"
"percent.red_1",NA,"0.6416667","0.4458333"
