"","V1","V2","V3"
"structure","control","dendritic","lattice"
"vol.bottle.b4filter_1",NA,"4.164646","5.156444"
"avg.chlorophyll_1","16.65430","79.41665","92.34221"
"pH_1","0.05338539","0.16758807","0.06819215"
"temp.fahr.rate.of.resp._1",NA,"0.3056668","1.2192836"
"rate.of.resp_1","0.05851493","0.11031381","0.18964627"
"ppm.ammonia_1","0.7071068","0.2073848","0.3334039"
"ppm.nitrite_1","0.08838835","0.17405921","0.14180784"
"ppm.nitrate_1"," 0.00000","14.19970","14.19018"
"SPC_1",NA,"109.6675"," 39.9205"
"cond._1","190.77300",NA," 37.18262"
"DO.percent_1"," 5.077946","23.856532","33.413637"
"DO_1","0.4015839",NA,"2.9179575"
"temp._1","0.07440238","0.27639732","0.44580594"
"filterpaper.weight_1",NA,"0.01532729","0.01609960"
"driedsolid.weight_1",NA,"0.04459704","0.03806859"
"bac.density_1","24308265"," 1671235"," 2275040"
"tot.bac.per.bottle_1","3268218169","   8380322","  12966196"
"connectivity_1","0.0000000","0.9649215","0.6856067"
"bottle.color_1","0.320435","1.180228","1.019721"
"total.num.tubes_1","0.0000000","0.9649215","0.6856067"
"num.tubes.red_1",NA,"0.9168849","0.9111674"
"num.tubes.not.red_1",NA,"0.7738670","0.9222608"
"percent.red_1",NA,"0.4114933","0.3033185"
"X_1",NA,NA,NA
"X.1_1",NA,NA,NA
"X.2_1",NA,NA,NA
"X.3_1",NA,NA,NA
"X.4_1",NA,NA,NA
"X.5_1",NA,NA,NA
"X.6_1",NA,NA,NA
"X.7_1",NA,NA,NA
"X.8_1",NA,NA,NA
"X.9_1",NA,NA,NA
