"","time","species","predictor","df","aic","r2","delta_aic","lklhd","weight"
"1","Entire Exp","predator","occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,10702.7784044049,0.0851113615027473,0,1,0.461165839074394
"2","Entire Exp","predator","occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,10703.2674795349,0.0852782940971919,0.489075130049969,0.783066571897515,0.361123552680227
"3","Entire Exp","predator","occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,10704.7393419643,0.0853366375141882,1.96093755940819,0.375135201857227,0.17299954013083
"4","Entire Exp","predator","occupancy ~ structure + (1|rep) + adjacency(1|bottle.number)",2,10713.0183221256,0.0839792141917908,10.2399177207208,0.00597626875149137,0.0027560509933156
"5","Entire Exp","predator","occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,10713.7051219347,0.0836819238740775,10.9267175298646,0.00423929301692547,0.00195501712123265
"6","Entire Exp","prey","occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,7858.1638943365,0.00364352524212008,0,1,0.353577104974202
"7","Entire Exp","prey","occupancy ~ structure + (1|rep) + adjacency(1|bottle.number)",2,7858.24584016109,0.00387430354712104,0.081945824597824,0.959855129864504,0.339382798012128
"8","Entire Exp","prey","occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,7860.07156280275,0.00365463570209001,1.90766846625138,0.385261007387808,0.136219471651626
"9","Entire Exp","prey","occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,7860.24557815143,0.00387433506820245,2.08168381493488,0.353157231053277,0.124868311356523
"10","Entire Exp","prey","occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,7862.2448890836,0.00387441796652654,4.08099474710252,0.129964054117345,0.0459523140055213
"11","Phase 1","predator","occupancy ~ connectivity + (1|rep) + adjacency(1|bottle.number)",2,3945.82436336596,0.023592836694572,0,1,0.529443697500243
"12","Phase 1","predator","occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,3947.32427645235,0.0237407916789989,1.49991308639528,0.472387080726975,0.250102362671436
"13","Phase 1","predator","occupancy ~ connectivity + structure + connectivity * structure + (1|rep) + adjacency(1|bottle.number)",4,3948.63128374664,0.023945782430277,2.80692038068264,0.245745166050071,0.130108229356361
"14","Phase 1","predator","occupancy ~ structure + (1|rep) + adjacency(1|bottle.number)",2,3950.56347604168,0.0221896161556103,4.73911267572566,0.0935222093384142,0.0495147443105217
"15","Phase 1","predator","occupancy ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,3950.94913548569,0.0214824749513448,5.12477211972782,0.0771205065887488,0.040830966161439
"16","Phase 1","prey","occupancy ~ structure + (1|rep) + adjacency(1|bottle.number)",2,463.207669152072,0.0316837050646981,0,1,0.635056422020623
"17","Phase 1","prey","occupancy ~ connectivity + structure + (1|rep) + adjacency(1|bottle.number)",3,465.188652477816,0.0316892850957587,1.98098332574455,0.371394045462568,0.235856173671223
