"","time","species","predictor","df","aic","r2","delta_aic","lklhd","weight"
"1","Entire Exp","predator","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,36605.2140319761,0.0810011757898788,0,1,0.615739739447556
"2","Entire Exp","predator","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,36606.4579742521,0.0806410594616646,1.24394227601442,0.536885119242285,0.330581503435515
"3","Entire Exp","predator","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,36611.0244753002,0.0801338841636823,5.81044332402962,0.0547366562191726,0.0337035344386238
"4","Entire Exp","predator","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,36612.070695444,0.0797954022548347,6.85666346783546,0.0324410159010166,0.019975222678306
"5","Entire Exp","prey","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,43576.0014323457,0.0156558115633697,0,1,0.502282176088622
"6","Entire Exp","prey","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,43577.4141387718,0.0157256278091251,1.41270642606105,0.493440392293198,0.247846314011051
"7","Entire Exp","prey","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,43578.1951332453,0.0156327837149334,2.19370089958829,0.333921130607985,0.167722632123752
"8","Entire Exp","prey","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,43579.6226901093,0.0157008362243444,3.62125776361063,0.163551250048899,0.0821488777765754
"9","Phase 1","predator","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,14664.2442673986,0.018953673274131,0,1,0.643443744104887
"10","Phase 1","predator","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,14665.4928431754,0.019177036319783,1.24857577674447,0.535642730154683,0.344655963793293
"11","Phase 1","predator","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,14673.1946484337,0.0156928627360428,8.95038103501975,0.0113880522944592,0.00732757100640907
"12","Phase 1","predator","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,14674.1377196948,0.0160080675596368,9.89345229612809,0.00710663696291276,0.00457272109541077
"13","Phase 1","prey","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,13229.9424903316,0.0630548451733279,0,1,0.665303451647235
"14","Phase 1","prey","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,13231.9736711876,0.0630459921763841,2.03118085593633,0.36218852045744,0.24096527280734
"15","Phase 1","prey","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,13234.4852639767,0.0611953599760139,4.54277364507652,0.103169003726331,0.0686386942821342
"16","Phase 1","prey","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,13236.4978323708,0.06119178443384,6.55534203918251,0.037715994410016,0.0250925812632915
"17","Phase 2","predator","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,9441.10631664134,0.374789889274092,0,1,0.37950643443245
"18","Phase 2","predator","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,9441.65702082196,0.375158119979742,0.550704180617686,0.75930473231715,0.288161031609367
"19","Phase 2","predator","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,9442.5055675226,0.374942551292544,1.39925088126074,0.496771339308263,0.188527919709112
"20","Phase 2","predator","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,9443.04714867931,0.375313008769602,1.94083203796617,0.378925365163124,0.143804614249071
"21","Phase 2","prey","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,11040.7313927672,0.113183522363962,0,1,0.51239668965122
"22","Phase 2","prey","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,11042.3772211324,0.113311190100906,1.64582836529371,0.439150024580173,0.225019018855133
"23","Phase 2","prey","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,11042.8018178497,0.113158134145406,2.07042508257837,0.355150888674892,0.181978139683704
"24","Phase 2","prey","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,11044.4304410426,0.113292007170305,3.69904827547725,0.157312007352762,0.0806061518099438
"25","Phase 3","predator","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,8236.92304195637,0.305347488301592,0,1,0.506779014700907
"26","Phase 3","predator","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,8237.71515254709,0.304538873598784,0.792110590722586,0.672969482817848,0.341046811426208
"27","Phase 3","predator","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,8240.41022112917,0.303757470181012,3.48717917280374,0.174891484423505,0.0886313341557229
"28","Phase 3","predator","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,8241.07576339734,0.302983763983287,4.15272144097435,0.125385696474951,0.0635428397171628
"29","Phase 2","prey","density ~ structure + (1|rep) + adjacency(1|bottle.number)",2,10875.3375934447,0.132370400658425,0,1,0.380598157453291
"30","Phase 2","prey","density ~ structure + bac.density_log  + (1|rep) + adjacency(1|bottle.number)",3,10876.2840545342,0.132751184384654,0.946461089437435,0.622986428389353,0.237107486763395
"31","Phase 2","prey","density ~ 1 + (1|rep) + adjacency(1|bottle.number)",1,10876.2864726612,0.131303689253189,0.948879216481146,0.622233653392274,0.236820981986529
"32","Phase 2","prey","density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number)",2,10877.2610955283,0.131674752202861,1.92350208356402,0.382223011194262,0.145473373796785
