,time,species,predictor,df,aic,r2,delta_aic,lklhd,weight
1,Entire Exp,predator,density ~ ln.pred  + (1|rep) + adjacency(1|bottle.number),2,36606.45797,0.080641059,0,1,0.943018572
2,Entire Exp,predator,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,36612.0707,0.079795402,5.612721192,0.060424502,0.056981428
3,Entire Exp,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,43576.00143,0.015655812,0,1,0.669594853
4,Entire Exp,prey,density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number),2,43577.41414,0.015725628,1.412706426,0.493440392,0.330405147
5,Entire Exp,prey,density ~ ln.pred  + (1|rep) + adjacency(1|bottle.number),2,40900.01131,0.287666029,0,1,1
6,Entire Exp,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,43576.00143,0.015655812,2675.990126,0,0
7,Phase 1,predator,density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number),2,14664.24427,0.018953673,0,1,0.988740175
8,Phase 1,predator,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,14673.19465,0.015692863,8.950381035,0.011388052,0.011259825
9,Phase 1,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,13234.48526,0.06119536,0,1,0.732292331
10,Phase 1,prey,density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number),2,13236.49783,0.061191784,2.012568394,0.365574863,0.267707669
11,Phase 1,prey,density ~ ln.pred  + (1|rep) + adjacency(1|bottle.number),2,13024.00488,0.119738157,0,1,1
12,Phase 1,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,13234.48526,0.06119536,210.4803826,1.97E-46,1.97E-46
13,Phase 2,predator,density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number),2,9442.505568,0.374942551,0,1,0.5
14,Phase 2,predator,density ~ 1 + (1|rep) + adjacency(1|bottle.number),2,9442.505568,0.374942551,0,1,0.5
15,Phase 2,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,11040.73139,0.113183522,0,1,0.69485459
16,Phase 2,prey,density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number),2,11042.37722,0.11331119,1.645828365,0.439150025,0.30514541
17,Phase 2,prey,density ~ ln.pred  + (1|rep) + adjacency(1|bottle.number),2,10925.16448,0.154568939,0,1,1
18,Phase 2,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,11040.73139,0.113183522,115.5669166,8.03E-26,8.03E-26
19,Phase 3,predator,density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number),2,8240.410221,0.30375747,0,1,0.582433483
20,Phase 3,predator,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,8241.075763,0.302983764,0.665542268,0.716934257,0.417566517
21,Phase 3,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,10876.28647,0.131303689,0,1,0.619472871
22,Phase 3,prey,density ~ bac.density_log  + (1|rep) + adjacency(1|bottle.number),2,10877.2611,0.131674752,0.974622867,0.614275697,0.380527129
23,Phase 3,prey,density ~ ln.pred  + (1|rep) + adjacency(1|bottle.number),2,10366.86919,0.2980213,0,1,1
24,Phase 3,prey,density ~ 1 + (1|rep) + adjacency(1|bottle.number),1,10876.28647,0.131303689,509.4172798,2.41E-111,2.41E-111
